Section,Purpose,Snippet,Explanation
"0. CSS Global Styles","Defines the visual theme and layout foundation for the game.","css html, body { margin: 0; padding: 0; background: #faf8ef; color: #776e65; font-family: ""Clear Sans"", ""Helvetica Neue"", Arial, sans-serif; }","Establishes the core visual identity with a warm beige background (#faf8ef) and brownish text (#776e65). The Clear Sans font provides a modern, clean aesthetic appropriate for the minimalist game design."
"1. CSS Keyframes (move-up)","Animates the floating score addition indicators.","css @keyframes move-up { 0% { top: 25px; opacity: 1; } 100% { top: -50px; opacity: 0; } }","Creates a 600ms animation that floats score additions upward from their starting position while fading out. Used exclusively for the ""+X"" score indicators that appear after merging tiles."
"2. CSS Keyframes (fade-in)","Provides smooth appearance for game-over/win messages.","css @keyframes fade-in { 0% { opacity: 0; } 100% { opacity: 1; } }","A simple opacity transition applied to the game-message overlay. Delays 1200ms to allow users to see the final tile merge before the message appears."
"3. CSS Keyframes (appear)","Animates new tile spawning with scale effect.","css @keyframes appear { 0% { opacity: 0; transform: scale(0); } 100% { opacity: 1; transform: scale(1); } }","Creates a 200ms pop-in effect for newly generated tiles (2 or 4). The scale transformation grows from 0% to 100% size, making tiles feel like they're materializing onto the grid."
"4. CSS Keyframes (pop)","Animates tile merging with bounce effect.","css @keyframes pop { 0% { transform: scale(0); } 50% { transform: scale(1.2); } 100% { transform: scale(1); } }","Implements a 200ms bounce animation when two tiles merge. The overshoot to 120% scale creates a satisfying ""pop"" that emphasizes the merge action and point gain."
"5. Score Container Display","Shows the current game score with label.","css .score-container:after { content: ""Score""; }","Uses a CSS pseudo-element to inject the ""Score"" label above the numeric value. The :after technique keeps the HTML clean while maintaining semantic separation of label and value."
"6. Best Score Container","Displays the persistent high score across sessions.","css .best-container:after { content: ""Best""; }","Similar to score-container but tracks the dimension-specific best score via localStorage. The label is injected via CSS, and the value persists with key format bestScore_WxH."
"7. Score Addition Animation","Floating point indicators for score increases.","css .score-addition { position: absolute; right: 30px; color: rgba(119, 110, 101, 0.9); animation: move-up 600ms ease-in; }","Positioned absolutely within the score container to float upward. The semi-transparent brown color matches the theme while being distinct enough to read during the animation."
"8. Game Container Styling","Creates the dynamically-sized main game board.","css .game-container { margin: 40px auto 0; padding: 15px; background: #bbada0; border-radius: 6px; box-sizing: border-box; }","Establishes the beige-brown game board with rounded corners and centered horizontal alignment. Dimensions are set dynamically via JavaScript based on selected grid size (updateGridSize method)."
"9. Game Message Overlay","Modal overlay for win/loss conditions.","css .game-message { display: none; position: absolute; top: 0; right: 0; bottom: 0; left: 0; background: rgba(238, 228, 218, 0.5); z-index: 100; }","Initially hidden (display: none), becomes visible when .game-won or .game-over classes are added. Semi-transparent overlay prevents interaction with the grid while showing the message."
